6.8464,50.8812,47.6568,0.89,50.8812,1005.2784,2.1972,7.31544,0.01708,0.508,17,11,0
8.16,30.8272,20.152,0.6576,28.4688,1025.0792,3.2692,8.13608,0.00036,0.0508,26,11,0
9.6884,30.8724,24.6712,0.7772,27.6176,1012.7392,3.8608,9.12296,0.00012,0.0156,29,12,0
4.6948,5.9508,-0.846400000000001,0.7352,3.5496,1019.4648,1.7496,7.94452,0,0,31,12,0
1.2632,31.01,25.2728,0.7996,31.01,1030.5044,0.2116,9.99700000000001,0,0,13,12,0
6.8468,34.7928,25.242,0.6824,33.4336,1012.0268,2.39,9.99700000000001,0,0,13,2,0
2.5928,36.4508,27.9812,0.7172,36.3744,1018.994,0.814,9.0392,0,0,15,2,0
4.7788,9.5256,-0.2896,0.6436,7.0084,1024.5624,2.41,9.99700000000001,0,0,10,1,0
3.9256,30.5108,20.2212,0.6692,27.7948,1018.4196,3.3308,9.2496,0,0,3,2,0
3.9844,35.8348,28.2944,0.746,35.8348,1034.1244,1.2984,9.99700000000001,0,0,3,12,0
0,38.0776,28.9512,0.706,32.3316,1018.2724,8.1912,9.99700000000001,0.0056,0.1824,22,11,0
7.3836,23.5956,16.5224,0.7484,20.4532,1009.8472,3.1276,8.98732,0.00008,0.0172,3,1,0
10.4232,41.002,38.7492,0.9152,38.8152,1012.8864,4.1156,3.89656,0.00748,0.3196,30,1,0
2.6664,70.8596,61.5684,0.744,71.484,1019.9764,0.8196,9.99700000000001,0,0,21,8,0
6.4768,51.0488,47.6632,0.882,51.0024,1015.922,2.3108,9.4374,0.00292,0.16,22,10,0
12.912,39.33,25.1772,0.5672,36.0728,1008.5128,4.8948,9.99700000000001,0.00172,0.222,15,3,0
9.918,73.7932,61.758,0.6716,74.1608,1011.0544,5.4728,9.98048,0,0,13,7,0
4.366,71.352,64.7956,0.808,72.306,1010.416,1.5188,8.13008,0.00516,0.092,29,6,0
4.1556,69.3648,56.9708,0.6772,69.4244,1000.9328,1.4796,9.97460000000001,0.00184,0.1312,7,6,0
10.996,31.8832,19.5136,0.6076,28.272,1025.6272,4.0136,9.91912000000001,0,0,10,3,0
5.2344,36.5636,34.8164,0.9336,36.3556,1012.0104,1.736,4.85056,0.00944,0.7112,9,11,0
4.7508,29.7816,24.8456,0.8252,29.3296,1016.8328,1.6648,6.1612,0.00216,0.0736,9,12,1
1.8268,33.0304,31.4728,0.9384,32.2276,1010.7848,1.4448,1.39992,0.01232,0.5088,24,2,1
4.0344,20.9888,16.044,0.8132,20.0276,1010.3824,1.88,4.54028,0.00128,0.0468,12,1,1
3.4192,15.8476,6.4976,0.674,15.6592,1023.0512,1.3336,6.5228,0.00036,0.042,18,1,1
3.2692,16.982,13.2844,0.8508,16.982,1019.0644,1.556,4.16964,0.00024,0.0264,2,2,1
6.5584,29.3424,26.9472,0.9064,27.9252,1009.3492,2.6796,3.05996,0.03,0.4936,7,3,1
2.19,32.466,30.2488,0.914,32.466,1010.6932,0.9356,2.24628,0.00292,0.1812,1,3,1
1.584,30.6584,24.4928,0.7848,30.556,1021.168,0.548,6.15516,0.0008,0.0368,16,1,1
4.6588,23.1044,11.29,0.6152,22.9584,1026.0248,1.8268,8.82236,0,0,8,2,1
5.6124,12.2268,6.0888,0.7648,9.6804,1025.4708,2.2896,4.57748,0.00048,0.0516,2,1,1
9.9736,-0.0388000000000001,-4.982,0.7908,-9.2912,1015.3652,4.2196,2.96176,0.00004,0.0032,3,1,1
2.9948,26.0564,18.338,0.7324,25.8692,1021.8456,1.1504,5.98456,0.00272,0.0876,5,2,1
6.7988,18.5328,13.5276,0.8088,16.698,1016.9168,2.8312,6.69648,0.00072,0.0692,6,2,2
12.2116,26.5172,23.2836,0.8768,21.3516,991.324,5.0448,3.74376,0.0024,0.1064,14,2,1
1.5236,29.622,27.1412,0.9036,29.622,1001.2472,0.8496,5.12096,0.00104,0.1028,11,12,1
10.1016,2.0252,-9.026,0.598,-2.6992,1022.3252,3.7176,9.98620000000001,0,0,8,1,2
11.066,17.4524,6.8848,0.6372,11.3348,1017.2856,4.5512,8.08392,0.00004,0.0032,9,1,2
4.7072,27.974,19.2252,0.7084,27.4984,1028.59,1.862,6.24492,0.0006,0.0532,12,1,2
8.57,15.1368,7.252,0.7092,9.0784,1011.804,4.2716,5.8034,0.00068,0.04,27,1,1
6.8356,12.7072,4.9924,0.7192,9.7976,1012.9596,3.116,4.51344,0.00116,0.136,2,2,1
5.7984,5.0988,-0.534,0.772,1.9508,1014.2872,2.498,7.4972,0.00012,0.028,3,2,2
3.7984,16.2324,12.4748,0.8492,16.2324,1016.8312,1.494,2.17812,0.00052,0.0512,9,2,1
3.6508,23.0304,18.7588,0.8364,22.5796,1019.6636,1.4548,7.02308,0.00036,0.0244,10,2,2
2.8748,25.276,18.4916,0.776,24.8804,1006.5936,1.0344,5.41796,0.00076,0.048,9,2,2
9.1752,25.2008,15.246,0.6792,22.3036,1013.8536,3.788,6.60856,0.00048,0.026,4,4,2
5.8112,30.5968,24.1236,0.778,30.0704,1018.3584,2.4772,5.59952,0.00204,0.092,12,12,1
3.5356,17.1928,6.3516,0.6276,16.0936,1013.1728,1.5044,7.54752,0.00012,0.0056,4,1,3
17.076,11.5476,4.2368,0.7232,0.135999999999999,998.4308,7.782,5.15144,0,0,5,1,2
0.9796,27.1312,23.9828,0.8784,26.9684,1027.2808,0.4344,1.61088,0.00032,0.0316,17,1,1
7.1344,29.6892,24.6404,0.8192,26.7008,1009.6772,3.0992,6.06912,0.00136,0.074,5,2,2
